Block,Treat,Year,Heather,Exotic dicots,Exotic monocots,Native dicots,Native monocots,Bryophytes,Lichen,Clubmoss,bare,litter
4,C,2009,0.397,0.079,0.021,0.169,0.116,0.056,0.054,0.005,0.011,0.091
5,C,2009,0.525,0.027,0.021,0.093,0.028,0.195,0.039,0,0.009,0.063
6,C,2009,0.678,0.018,0.023,0.062,0.032,0.14,0.047,0,0,0
1,H,2009,0.298,0.005,0.019,0.097,0.085,0.267,0.053,0.009,0.004,0.164
2,H,2009,0.643,0.02,0.019,0.104,0.078,0.019,0.024,0,0.005,0.087
3,H,2009,0.259,0.008,0.032,0.082,0.071,0.274,0.047,0.014,0.004,0.208
4,H,2009,0.238,0.004,0.055,0.039,0.078,0.283,0.013,0.009,0.004,0.276
5,H,2009,0.319,0,0.018,0.078,0.03,0.366,0.039,0,0.007,0.144
6,H,2009,0.48,0.005,0.012,0.045,0.063,0.251,0.035,0.019,0,0.091
1,HB,2009,0,0.005,0.032,0.155,0.065,0.124,0.076,0,0,0.543
2,HB,2009,0.006,0.015,0.02,0.044,0.061,0.036,0.066,0,0,0.752
3,HB,2009,0,0.014,0.034,0.083,0.055,0.035,0.094,0.015,0.018,0.652
4,HB,2009,0,0.004,0.034,0.045,0.092,0.225,0.098,0.004,0,0.499
5,HB,2009,0.004,0,0.028,0.177,0.067,0.273,0.091,0.004,0,0.356
6,HB,2009,0.008,0,0.013,0.021,0.063,0.17,0.073,0,0,0.651
1,B,2010,0.003,0.08,0.059,0.177,0.032,0.259,0.016,0,0.006,0.369
2,B,2010,0.005,0.042,0.021,0.159,0.025,0.106,0.031,0,0,0.611
3,B,2010,0.013,0.089,0.039,0.072,0.016,0.213,0.059,0.008,0,0.491
4,B,2010,0.012,0.047,0.103,0.101,0.116,0.06,0.091,0.003,0,0.466
5,B,2010,0.005,0.024,0.015,0.142,0.039,0.296,0.054,0.005,0.012,0.408
6,B,2010,0.004,0.064,0.025,0.097,0.042,0.112,0.058,0.008,0,0.589
1,C,2010,0.514,0.023,0.016,0.085,0.044,0.269,0.028,0,0,0.02
2,C,2010,0.666,0.03,0.012,0.076,0.025,0.052,0.118,0,0,0.021
3,C,2010,0.55,0.034,0.02,0.098,0.05,0.193,0.028,0.004,0,0.024
4,C,2010,0.361,0.086,0.035,0.176,0.113,0.077,0.064,0.005,0.005,0.079
5,C,2010,0.524,0.016,0.021,0.101,0.023,0.201,0.049,0,0.005,0.059
6,C,2010,0.692,0.018,0.026,0.056,0.026,0.11,0.055,0,0,0.017
1,H,2010,0.043,0,0.018,0.049,0.09,0.283,0.049,0.008,0,0.459
2,H,2010,0.126,0.013,0.032,0.052,0.099,0.019,0.06,0,0.005,0.593
3,H,2010,0.02,0,0.029,0.057,0.07,0.296,0.079,0.008,0,0.441
4,H,2010,0.03,0.005,0.09,0.027,0.093,0.344,0.05,0.014,0,0.347
5,H,2010,0.013,0,0.03,0.059,0.035,0.419,0.056,0,0,0.387
6,H,2010,0.078,0,0.014,0.016,0.057,0.327,0.018,0.01,0,0.481
1,HB,2010,0,0,0.045,0.076,0.097,0.144,0.026,0,0,0.612
2,HB,2010,0,0.016,0.051,0.027,0.158,0.063,0.146,0,0,0.538
3,HB,2010,0,0.006,0.062,0.063,0.096,0.095,0.031,0.019,0.018,0.61
4,HB,2010,0,0,0.095,0.005,0.162,0.306,0.045,0,0.005,0.381
5,HB,2010,0,0,0.047,0.12,0.089,0.356,0.124,0.004,0,0.26
6,HB,2010,0.004,0.008,0.028,0.008,0.08,0.216,0.105,0,0,0.552
1,B,2012,0.015,0.107,0.23,0.231,0.068,0.241,0.013,0,0.005,0.091
2,B,2012,0.004,0.096,0.178,0.236,0.045,0.08,0.029,0,0,0.331
3,B,2012,0.011,0.076,0.123,0.081,0.04,0.268,0.056,0.012,0,0.333
4,B,2012,0.018,0.103,0.33,0.085,0.204,0.025,0.013,0.004,0.005,0.211
5,B,2012,0.041,0.032,0.066,0.204,0.076,0.301,0.039,0.004,0.004,0.233
6,B,2012,0.01,0.097,0.082,0.189,0.084,0.131,0.043,0.005,0,0.36
1,C,2012,0.568,0.034,0.049,0.078,0.072,0.142,0.021,0,0,0.036
2,C,2012,0.715,0.026,0.019,0.087,0.025,0,0.118,0,0,0.01
3,C,2012,0.522,0.03,0.019,0.092,0.057,0.209,0.041,0.005,0,0.026
4,C,2012,0.411,0.065,0.063,0.13,0.103,0.087,0.04,0.004,0.004,0.093
5,C,2012,0.594,0.025,0.025,0.109,0.038,0.12,0.049,0,0,0.041
6,C,2012,0.722,0.014,0.028,0.061,0.031,0.072,0.038,0,0,0.033
1,H,2012,0.081,0.004,0.052,0.048,0.23,0.277,0.037,0.004,0,0.269
2,H,2012,0.132,0.03,0.198,0.066,0.221,0,0.028,0,0.039,0.285
3,H,2012,0.031,0,0.267,0.049,0.096,0.344,0.02,0.023,0,0.169
4,H,2012,0.078,0.004,0.249,0.039,0.155,0.317,0.019,0.011,0,0.129
5,H,2012,0.102,0.004,0.14,0.062,0.084,0.407,0.023,0,0,0.178
6,H,2012,0.005,0.005,0.09,0.036,0.211,0.308,0.019,0.009,0,0.317
1,HB,2012,0.01,0.014,0.268,0.037,0.144,0.183,0.095,0,0,0.25
2,HB,2012,0.005,0.026,0.264,0.045,0.178,0.021,0.041,0,0,0.42
3,HB,2012,0.01,0.013,0.241,0.043,0.133,0.07,0.079,0.015,0.004,0.39
4,HB,2012,0.009,0.009,0.264,0.036,0.225,0.27,0.032,0,0,0.154
5,HB,2012,0.005,0.005,0.111,0.055,0.159,0.264,0.16,0,0.011,0.229
6,HB,2012,0,0.014,0.131,0.01,0.184,0.172,0.055,0,0,0.435
